using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.10
D=47237
K=225
N=20835
d=75.9802
r=6
i=59, a_nnz=10.019, ever_a_nnz=12.6194, b_nnz=123.414, uni_search=6.3439, uni_subSolve=2.10752, uni_maintain_time=0.150497, bi_search=1.15388, bi_subSolve=1.33703, bi_maintain_time=0.30615, admm_maintain=1.42661, area4=1.08361, infea=643.788, d_obj=13924.7, p_obj=487946, heldout Acc=0.995556 (3/100), overall time=544.004
i=60, a_nnz=10.0767, ever_a_nnz=12.6982, b_nnz=125.488, uni_search=4.59219, uni_subSolve=1.36768, uni_maintain_time=0.105041, bi_search=0.519993, bi_subSolve=0.690101, bi_maintain_time=0.227156, admm_maintain=0.857113, area4=1.07497, infea=640.882, d_obj=13932.5, overall time=553.56
i=61, a_nnz=10.1271, ever_a_nnz=12.7728, b_nnz=127.494, uni_search=5.83662, uni_subSolve=1.95539, uni_maintain_time=0.17303, bi_search=0.939803, bi_subSolve=1.55233, bi_maintain_time=0.376765, admm_maintain=1.66961, area4=1.08073, infea=637.724, d_obj=13936.4, overall time=567.798
i=62, a_nnz=10.1808, ever_a_nnz=12.847, b_nnz=129.497, uni_search=5.00761, uni_subSolve=1.63779, uni_maintain_time=0.107828, bi_search=0.770474, bi_subSolve=1.22072, bi_maintain_time=0.310219, admm_maintain=1.33607, area4=1.07929, infea=639.883, d_obj=13937.2, overall time=579.949
i=63, a_nnz=10.2347, ever_a_nnz=12.919, b_nnz=131.445, uni_search=5.52478, uni_subSolve=1.79798, uni_maintain_time=0.120483, bi_search=0.901235, bi_subSolve=1.39302, bi_maintain_time=0.324148, admm_maintain=1.31223, area4=1.08323, infea=634.919, d_obj=13910.8, overall time=593.106
i=64, a_nnz=10.2906, ever_a_nnz=12.9917, b_nnz=133.444, uni_search=6.46028, uni_subSolve=1.98692, uni_maintain_time=0.138422, bi_search=1.44162, bi_subSolve=1.91608, bi_maintain_time=0.41226, admm_maintain=2.11257, area4=1.079, infea=634.127, d_obj=13880.6, overall time=609.163
i=65, a_nnz=10.3422, ever_a_nnz=13.0624, b_nnz=135.4, uni_search=5.77041, uni_subSolve=1.89551, uni_maintain_time=0.148074, bi_search=0.970636, bi_subSolve=1.49173, bi_maintain_time=0.380613, admm_maintain=1.83924, area4=1.08399, infea=625.498, d_obj=13812.8, overall time=622.824
i=66, a_nnz=10.3969, ever_a_nnz=13.1331, b_nnz=137.357, uni_search=5.03376, uni_subSolve=1.53276, uni_maintain_time=0.124943, bi_search=0.876386, bi_subSolve=1.27437, bi_maintain_time=0.307383, admm_maintain=1.26652, area4=1.07939, infea=625.219, d_obj=13727, overall time=634.911
i=67, a_nnz=10.4508, ever_a_nnz=13.2019, b_nnz=139.299, uni_search=5.20464, uni_subSolve=1.65167, uni_maintain_time=0.11459, bi_search=1.28103, bi_subSolve=2.02794, bi_maintain_time=0.480472, admm_maintain=2.07148, area4=1.08802, infea=622.971, d_obj=13618, overall time=649.06
i=68, a_nnz=10.4996, ever_a_nnz=13.2682, b_nnz=141.213, uni_search=6.25816, uni_subSolve=1.94629, uni_maintain_time=0.161668, bi_search=0.97077, bi_subSolve=1.48686, bi_maintain_time=0.364349, admm_maintain=1.446, area4=1.0839, infea=619.421, d_obj=13489.3, overall time=663.222
i=69, a_nnz=10.5463, ever_a_nnz=13.3339, b_nnz=143.166, uni_search=6.02938, uni_subSolve=1.93892, uni_maintain_time=0.155549, bi_search=1.20457, bi_subSolve=1.77241, bi_maintain_time=0.418011, admm_maintain=1.9493, area4=1.08447, infea=619.507, d_obj=13349, p_obj=168694, heldout Acc=0.995556 (4/100), overall time=678.654
i=70, a_nnz=10.5933, ever_a_nnz=13.4006, b_nnz=145.11, uni_search=5.94968, uni_subSolve=1.85573, uni_maintain_time=0.146499, bi_search=1.11779, bi_subSolve=1.46464, bi_maintain_time=0.347978, admm_maintain=1.69178, area4=1.09503, infea=617.865, d_obj=13184.9, overall time=692.629
i=71, a_nnz=10.6414, ever_a_nnz=13.465, b_nnz=147.026, uni_search=5.90633, uni_subSolve=1.9008, uni_maintain_time=0.122101, bi_search=1.10376, bi_subSolve=1.71831, bi_maintain_time=0.339054, admm_maintain=1.36717, area4=1.08946, infea=617.458, d_obj=13033.5, overall time=706.54
i=72, a_nnz=10.6883, ever_a_nnz=13.5306, b_nnz=148.978, uni_search=5.18359, uni_subSolve=1.74993, uni_maintain_time=0.114201, bi_search=1.11261, bi_subSolve=1.70924, bi_maintain_time=0.376675, admm_maintain=1.60803, area4=1.08697, infea=619.874, d_obj=12889.3, overall time=720.079
i=73, a_nnz=10.7309, ever_a_nnz=13.5928, b_nnz=150.876, uni_search=5.94885, uni_subSolve=1.93258, uni_maintain_time=0.119197, bi_search=0.875672, bi_subSolve=1.33707, bi_maintain_time=0.297939, admm_maintain=1.59685, area4=1.09618, infea=615.796, d_obj=12743.4, overall time=733.526
i=74, a_nnz=10.7758, ever_a_nnz=13.6548, b_nnz=152.785, uni_search=5.86585, uni_subSolve=1.89655, uni_maintain_time=0.128322, bi_search=1.0187, bi_subSolve=1.37749, bi_maintain_time=0.325042, admm_maintain=1.5411, area4=1.09359, infea=617.27, d_obj=12602.6, overall time=747.283
i=75, a_nnz=10.818, ever_a_nnz=13.7192, b_nnz=154.706, uni_search=5.6646, uni_subSolve=1.70974, uni_maintain_time=0.127788, bi_search=1.25723, bi_subSolve=1.86617, bi_maintain_time=0.370301, admm_maintain=2.03163, area4=1.10415, infea=618.299, d_obj=12474.7, overall time=762
i=76, a_nnz=10.8661, ever_a_nnz=13.7799, b_nnz=156.639, uni_search=4.65366, uni_subSolve=1.49421, uni_maintain_time=0.10437, bi_search=0.829849, bi_subSolve=1.22517, bi_maintain_time=0.296272, admm_maintain=1.33672, area4=1.10223, infea=610.408, d_obj=12346.7, overall time=773.266
i=77, a_nnz=10.9091, ever_a_nnz=13.842, b_nnz=158.592, uni_search=4.93702, uni_subSolve=1.57134, uni_maintain_time=0.111531, bi_search=0.826331, bi_subSolve=1.31269, bi_maintain_time=0.337912, admm_maintain=1.23416, area4=1.09244, infea=616.53, d_obj=12226.1, overall time=784.725
i=78, a_nnz=10.9531, ever_a_nnz=13.9031, b_nnz=160.525, uni_search=3.84834, uni_subSolve=1.16071, uni_maintain_time=0.105625, bi_search=0.908447, bi_subSolve=1.51923, bi_maintain_time=0.302728, admm_maintain=1.18608, area4=1.09513, infea=612.637, d_obj=12111.9, overall time=795.557
i=79, a_nnz=10.9972, ever_a_nnz=13.964, b_nnz=162.49, uni_search=4.47129, uni_subSolve=1.41881, uni_maintain_time=0.104848, bi_search=0.927606, bi_subSolve=1.44128, bi_maintain_time=0.339957, admm_maintain=1.46217, area4=1.09551, infea=608.438, d_obj=12002.2, p_obj=304588, heldout Acc=0.995556 (5/100), overall time=806.754
i=80, a_nnz=11.0399, ever_a_nnz=14.0249, b_nnz=164.446, uni_search=6.41323, uni_subSolve=1.93451, uni_maintain_time=0.118137, bi_search=0.957173, bi_subSolve=1.44955, bi_maintain_time=0.358635, admm_maintain=1.35088, area4=1.09734, infea=605.448, d_obj=11883.9, overall time=821.064
i=81, a_nnz=11.086, ever_a_nnz=14.0865, b_nnz=166.433, uni_search=6.51916, uni_subSolve=2.13527, uni_maintain_time=0.126637, bi_search=1.43297, bi_subSolve=2.15165, bi_maintain_time=0.442727, admm_maintain=1.44225, area4=1.10482, infea=603.877, d_obj=11770.8, overall time=836.658
i=82, a_nnz=11.1302, ever_a_nnz=14.1454, b_nnz=168.398, uni_search=6.35257, uni_subSolve=1.97907, uni_maintain_time=0.14596, bi_search=0.935207, bi_subSolve=1.31808, bi_maintain_time=0.301964, admm_maintain=1.2567, area4=1.10732, infea=602.049, d_obj=11655.7, overall time=850.854
i=83, a_nnz=11.1725, ever_a_nnz=14.2036, b_nnz=170.359, uni_search=5.55493, uni_subSolve=1.847, uni_maintain_time=0.150694, bi_search=0.878332, bi_subSolve=1.31291, bi_maintain_time=0.343393, admm_maintain=1.78711, area4=1.10425, infea=603.962, d_obj=11550.7, overall time=864.241
