using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=66, a_nnz=8.6108, ever_a_nnz=8.68515, b_nnz=102.884, uni_search=5.75958, uni_subSolve=0.459504, uni_maintain_time=0.082599, bi_search=46.8644, bi_subSolve=0.590456, bi_maintain_time=0.262861, admm_maintain=0.430933, area4=-nan, infea=907.544, d_obj=-18893.7, overall time=3654.92
i=67, a_nnz=8.64204, ever_a_nnz=8.71735, b_nnz=104.299, uni_search=8.19193, uni_subSolve=0.60571, uni_maintain_time=0.077238, bi_search=47.7743, bi_subSolve=0.603062, bi_maintain_time=0.274543, admm_maintain=0.236614, area4=-nan, infea=860.91, d_obj=-19008.2, overall time=3712.96
i=68, a_nnz=8.67387, ever_a_nnz=8.75018, b_nnz=105.72, uni_search=4.61773, uni_subSolve=0.341517, uni_maintain_time=0.0577834, bi_search=47.4185, bi_subSolve=0.688275, bi_maintain_time=0.299553, admm_maintain=0.401706, area4=-nan, infea=903.366, d_obj=-19033.5, overall time=3767.41
i=69, a_nnz=8.70506, ever_a_nnz=8.78243, b_nnz=107.159, uni_search=8.92346, uni_subSolve=0.736459, uni_maintain_time=0.0866009, bi_search=48.0917, bi_subSolve=0.889221, bi_maintain_time=0.394538, admm_maintain=0.416034, area4=-nan, infea=862.929, d_obj=-19139.8, p_obj=18578.1.........., heldout Acc=0.995044 (1/50), overall time=3827.42
i=70, a_nnz=8.73751, ever_a_nnz=8.81565, b_nnz=108.588, uni_search=9.80641, uni_subSolve=0.79626, uni_maintain_time=0.0878978, bi_search=48.4165, bi_subSolve=0.893189, bi_maintain_time=0.41534, admm_maintain=0.496327, area4=-nan, infea=865.789, d_obj=-19202.8, overall time=3888.88
i=71, a_nnz=8.76765, ever_a_nnz=8.84723, b_nnz=110.039, uni_search=8.87716, uni_subSolve=0.737179, uni_maintain_time=0.089602, bi_search=47.9442, bi_subSolve=0.925333, bi_maintain_time=0.415765, admm_maintain=0.534046, area4=-nan, infea=841.967, d_obj=-19290.9, overall time=3949.03
i=72, a_nnz=8.79842, ever_a_nnz=8.87862, b_nnz=111.453, uni_search=8.80718, uni_subSolve=0.730031, uni_maintain_time=0.0872331, bi_search=49.8947, bi_subSolve=1.05192, bi_maintain_time=0.475917, admm_maintain=0.56164, area4=-nan, infea=858.397, d_obj=-19337.2, overall time=4011.28
i=73, a_nnz=8.82971, ever_a_nnz=8.91121, b_nnz=112.888, uni_search=8.30673, uni_subSolve=0.687631, uni_maintain_time=0.0834362, bi_search=48.0941, bi_subSolve=0.931338, bi_maintain_time=0.410907, admm_maintain=0.574108, area4=-nan, infea=848.428, d_obj=-19410.4, overall time=4070.97
i=74, a_nnz=8.86177, ever_a_nnz=8.94394, b_nnz=114.373, uni_search=8.80677, uni_subSolve=0.739346, uni_maintain_time=0.0879023, bi_search=49.655, bi_subSolve=1.0428, bi_maintain_time=0.461963, admm_maintain=0.533311, area4=-nan, infea=849.05, d_obj=-19471.9, overall time=4132.87
i=75, a_nnz=8.89278, ever_a_nnz=8.97591, b_nnz=115.827, uni_search=8.07549, uni_subSolve=0.638048, uni_maintain_time=0.0893218, bi_search=45.5545, bi_subSolve=0.347356, bi_maintain_time=0.162876, admm_maintain=0.269367, area4=-nan, infea=878.576, d_obj=-19502.7, overall time=4188.3
i=76, a_nnz=8.92335, ever_a_nnz=9.00754, b_nnz=117.266, uni_search=4.99601, uni_subSolve=0.35746, uni_maintain_time=0.0608395, bi_search=45.9529, bi_subSolve=0.544269, bi_maintain_time=0.235976, admm_maintain=0.305696, area4=-nan, infea=854.662, d_obj=-19586.8, overall time=4241.08
i=77, a_nnz=8.95268, ever_a_nnz=9.03796, b_nnz=118.712, uni_search=5.25788, uni_subSolve=0.406372, uni_maintain_time=0.06636, bi_search=45.7586, bi_subSolve=0.40985, bi_maintain_time=0.17801, admm_maintain=0.291273, area4=-nan, infea=845.574, d_obj=-19654.9, overall time=4293.76
i=78, a_nnz=8.98047, ever_a_nnz=9.0671, b_nnz=120.11, uni_search=4.84976, uni_subSolve=0.358008, uni_maintain_time=0.060701, bi_search=45.7933, bi_subSolve=0.468831, bi_maintain_time=0.203601, admm_maintain=0.289498, area4=-nan, infea=843.479, d_obj=-19714.9, overall time=4346.09
i=79, a_nnz=9.00826, ever_a_nnz=9.09566, b_nnz=121.496, uni_search=5.07667, uni_subSolve=0.382924, uni_maintain_time=0.0630004, bi_search=45.6251, bi_subSolve=0.458254, bi_maintain_time=0.194017, admm_maintain=0.270309, area4=-nan, infea=798.719, d_obj=-19815.9, p_obj=19526.5.....
