using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=66, a_nnz=10.4207, ever_a_nnz=13.177, b_nnz=138.55, uni_search=4.02398, uni_subSolve=1.27475, uni_maintain_time=0.110618, bi_search=0.82039, bi_subSolve=0.977445, bi_maintain_time=0.239565, admm_maintain=0.990992, area4=1.07919, infea=626.083, d_obj=13665.9, overall time=427.802
i=67, a_nnz=10.4739, ever_a_nnz=13.2479, b_nnz=140.555, uni_search=3.69395, uni_subSolve=1.09704, uni_maintain_time=0.102736, bi_search=0.687099, bi_subSolve=0.856652, bi_maintain_time=0.219666, admm_maintain=0.848176, area4=1.08754, infea=630.622, d_obj=13557.9, overall time=436.091
i=68, a_nnz=10.5261, ever_a_nnz=13.3174, b_nnz=142.547, uni_search=3.6522, uni_subSolve=1.07154, uni_maintain_time=0.101661, bi_search=0.710926, bi_subSolve=0.88424, bi_maintain_time=0.2249, admm_maintain=0.870482, area4=1.08063, infea=626.48, d_obj=13459.8, overall time=444.422
i=69, a_nnz=10.5777, ever_a_nnz=13.3868, b_nnz=144.554, uni_search=3.72078, uni_subSolve=1.09944, uni_maintain_time=0.101857, bi_search=0.711238, bi_subSolve=0.886611, bi_maintain_time=0.221662, admm_maintain=0.884785, area4=1.0838, infea=626.135, d_obj=13362.9, overall time=452.861
i=70, a_nnz=10.6256, ever_a_nnz=13.45, b_nnz=146.398, uni_search=3.68415, uni_subSolve=1.07834, uni_maintain_time=0.0998108, bi_search=0.688241, bi_subSolve=0.867271, bi_maintain_time=0.218032, admm_maintain=0.865909, area4=1.09014, infea=618.278, d_obj=13225.5, overall time=461.151
i=71, a_nnz=10.6754, ever_a_nnz=13.5167, b_nnz=148.357, uni_search=3.71018, uni_subSolve=1.08547, uni_maintain_time=0.100991, bi_search=0.710507, bi_subSolve=0.892679, bi_maintain_time=0.223438, admm_maintain=0.885534, area4=1.08668, infea=620.082, d_obj=13121.2, overall time=469.576
i=72, a_nnz=10.719, ever_a_nnz=13.5807, b_nnz=150.238, uni_search=3.73245, uni_subSolve=1.09743, uni_maintain_time=0.100766, bi_search=0.722897, bi_subSolve=0.904341, bi_maintain_time=0.226026, admm_maintain=0.876552, area4=1.09628, infea=615.296, d_obj=12985, overall time=478.049
i=73, a_nnz=10.7656, ever_a_nnz=13.6434, b_nnz=152.127, uni_search=3.74105, uni_subSolve=1.10017, uni_maintain_time=0.101749, bi_search=0.730424, bi_subSolve=0.914387, bi_maintain_time=0.233132, admm_maintain=0.899398, area4=1.09282, infea=613.158, d_obj=12847.1, overall time=486.599
i=74, a_nnz=10.8106, ever_a_nnz=13.7071, b_nnz=154.057, uni_search=3.76261, uni_subSolve=1.10793, uni_maintain_time=0.101714, bi_search=0.730442, bi_subSolve=0.917815, bi_maintain_time=0.229861, admm_maintain=0.903378, area4=1.08956, infea=615.219, d_obj=12699.9, overall time=495.182
i=75, a_nnz=10.8589, ever_a_nnz=13.7702, b_nnz=156.001, uni_search=3.75264, uni_subSolve=1.10108, uni_maintain_time=0.101639, bi_search=0.725674, bi_subSolve=0.914073, bi_maintain_time=0.230353, admm_maintain=0.914828, area4=1.09858, infea=616.556, d_obj=12560.4, overall time=503.754
i=76, a_nnz=10.9043, ever_a_nnz=13.8316, b_nnz=157.915, uni_search=3.77806, uni_subSolve=1.10649, uni_maintain_time=0.101767, bi_search=0.753985, bi_subSolve=0.948724, bi_maintain_time=0.239398, admm_maintain=0.925042, area4=1.09311, infea=612.256, d_obj=12415, overall time=512.469
i=77, a_nnz=10.9509, ever_a_nnz=13.8934, b_nnz=159.877, uni_search=3.81113, uni_subSolve=1.13006, uni_maintain_time=0.102599, bi_search=0.769197, bi_subSolve=0.958677, bi_maintain_time=0.238288, admm_maintain=0.976438, area4=1.09666, infea=608.717, d_obj=12273.4, overall time=521.326
i=78, a_nnz=10.9974, ever_a_nnz=13.9567, b_nnz=161.903, uni_search=3.83772, uni_subSolve=1.14191, uni_maintain_time=0.103419, bi_search=0.772475, bi_subSolve=0.968142, bi_maintain_time=0.239801, admm_maintain=0.958478, area4=1.09772, infea=613.327, d_obj=12167.8, overall time=530.219
i=79, a_nnz=11.0439, ever_a_nnz=14.0178, b_nnz=163.906, uni_search=3.85575, uni_subSolve=1.14522, uni_maintain_time=0.102348, bi_search=0.774813, bi_subSolve=0.974264, bi_maintain_time=0.240029, admm_maintain=0.96598, area4=1.10079, infea=613.759, d_obj=12055.9, overall time=539.16
i=80, a_nnz=11.0853, ever_a_nnz=14.0762, b_nnz=165.827, uni_search=3.91773, uni_subSolve=1.17653, uni_maintain_time=0.103527, bi_search=0.808961, bi_subSolve=1.00773, bi_maintain_time=0.248905, admm_maintain=1.00642, area4=1.10454, infea=607.796, d_obj=11931.2, overall time=548.343
i=81, a_nnz=11.1271, ever_a_nnz=14.133, b_nnz=167.705, uni_search=3.99819, uni_subSolve=1.20703, uni_maintain_time=0.104443, bi_search=0.827, bi_subSolve=1.02679, bi_maintain_time=0.254986, admm_maintain=1.01909, area4=1.10079, infea=602.221, d_obj=11818.9, overall time=557.684
i=82, a_nnz=11.1695, ever_a_nnz=14.1904, b_nnz=169.591, uni_search=3.90812, uni_subSolve=1.16383, uni_maintain_time=0.10298, bi_search=0.798191, bi_subSolve=1.00424, bi_maintain_time=0.249148, admm_maintain=1.00003, area4=1.10454, infea=597.748, d_obj=11683.6, overall time=566.812
