using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=71, a_nnz=13.7458, ever_a_nnz=14.1112, b_nnz=125.388, uni_search=1.44566, uni_subSolve=0.16141, uni_maintain_time=0.0351822, bi_search=6.64333, bi_subSolve=0.224482, bi_maintain_time=0.114322, admm_maintain=0.125217, area4=-nan, infea=41.6412, d_obj=-2553.9, overall time=636.48
i=72, a_nnz=13.7717, ever_a_nnz=14.1397, b_nnz=126.15, uni_search=1.46332, uni_subSolve=0.164884, uni_maintain_time=0.0372315, bi_search=6.63851, bi_subSolve=0.22363, bi_maintain_time=0.113045, admm_maintain=0.126019, area4=-nan, infea=41.0431, d_obj=-2568.98, overall time=645.368
i=73, a_nnz=13.7964, ever_a_nnz=14.1661, b_nnz=126.886, uni_search=1.44149, uni_subSolve=0.162175, uni_maintain_time=0.0353975, bi_search=6.64547, bi_subSolve=0.220402, bi_maintain_time=0.115097, admm_maintain=0.133245, area4=-nan, infea=40.0315, d_obj=-2577.43, overall time=654.25
i=74, a_nnz=13.8252, ever_a_nnz=14.1965, b_nnz=127.743, uni_search=1.4295, uni_subSolve=0.153975, uni_maintain_time=0.0320766, bi_search=6.53877, bi_subSolve=0.109971, bi_maintain_time=0.0504501, admm_maintain=0.0998327, area4=-nan, infea=44.1103, d_obj=-2573.87, overall time=662.758
i=75, a_nnz=13.8528, ever_a_nnz=14.2232, b_nnz=128.502, uni_search=1.26906, uni_subSolve=0.108956, uni_maintain_time=0.0306389, bi_search=6.55228, bi_subSolve=0.126866, bi_maintain_time=0.06381, admm_maintain=0.104062, area4=-nan, infea=37.541, d_obj=-2595, overall time=671.114
i=76, a_nnz=13.8776, ever_a_nnz=14.2477, b_nnz=129.164, uni_search=1.3582, uni_subSolve=0.134491, uni_maintain_time=0.0331309, bi_search=6.62919, bi_subSolve=0.224286, bi_maintain_time=0.115467, admm_maintain=0.0968567, area4=-nan, infea=38.6364, d_obj=-2581.24, overall time=679.805
i=77, a_nnz=13.9057, ever_a_nnz=14.2766, b_nnz=129.977, uni_search=1.27911, uni_subSolve=0.111814, uni_maintain_time=0.0313176, bi_search=6.57716, bi_subSolve=0.195269, bi_maintain_time=0.0987813, admm_maintain=0.104381, area4=-nan, infea=43.6659, d_obj=-2562.7, overall time=688.409
i=78, a_nnz=13.9277, ever_a_nnz=14.2989, b_nnz=130.627, uni_search=2.06858, uni_subSolve=0.28828, uni_maintain_time=0.0387154, bi_search=6.66116, bi_subSolve=0.396344, bi_maintain_time=0.231193, admm_maintain=0.114947, area4=-nan, infea=38.2647, d_obj=-2577.73, overall time=698.32
i=79, a_nnz=13.9553, ever_a_nnz=14.3262, b_nnz=131.387, uni_search=1.92553, uni_subSolve=0.286237, uni_maintain_time=0.0379997, bi_search=6.66581, bi_subSolve=0.417988, bi_maintain_time=0.231715, admm_maintain=0.195982, area4=-nan, infea=43.6177, d_obj=-2578.55, p_obj=2985.57......., heldout Acc=0.985009 (4/50), overall time=708.281
i=80, a_nnz=13.9791, ever_a_nnz=14.3537, b_nnz=132.153, uni_search=1.28893, uni_subSolve=0.114254, uni_maintain_time=0.0338508, bi_search=6.56143, bi_subSolve=0.122258, bi_maintain_time=0.0639897, admm_maintain=0.0992205, area4=-nan, infea=39.6357, d_obj=-2588.18, overall time=716.663
